Timestamp,name,description,categories,location,status,sponsored,persona
31/07/2022 11:59:41,Let's watch monkeys at Artis,Let's be children again and be fascinated by all the animals you can see at Artis.,"zoo, outdoor, animals, monkeys",amsterdam,ACTIVE,FALSE,philosophers
31/07/2022 12:00:45,Let's learn how to cook,I cook the same five dishes over and over again... looking for some inspiration. Anybody wants to do a cooking class or just a sharing of easy recipes?,"cooking, food, class",,ACTIVE,FALSE,cooks
31/07/2022 12:03:21,Let's put googly eyes accross the city,I have a bunch of googly eyes and am looking for other people with too much time on their hands to stick them all accross the city. Know some good places? ,"googly eyes, outdoor, mission",,ACTIVE,FALSE,eyes
31/07/2022 12:04:22,Let's dress up and go to the opera,Every now and then I love classical music. It just puts me in another headspace. Plus I love dressing up. Anybody else?,"opera, classical music, dress up, culture",,ACTIVE,FALSE,divas
31/07/2022 12:05:21,Let's rave like a hippie at Ruigoord,Ruigoord is a hippie commune close to Amsterdam and they have the best psytrance nights. Any other ravers out there?,"rave, psytrance, hippie, dancing",amsterdam,ACTIVE,FALSE,hippies
31/07/2022 12:06:26,Let's take tinder pictures,I'm too embarassed to ask my friends for this but I do need some pictures for the apps. You too?,"photoshoot, dating apps, pictures",,ACTIVE,FALSE,daters
31/07/2022 12:07:20,Let's check out jam sessions,"I know that Noorderlicht cafe is doing jam session every Sunday, do you know of any other ones?","jam, live music, dancing",amsterdam,ACTIVE,FALSE,musicians
31/07/2022 12:08:16,Let's volunteer somewhere,At vca.nu you can find so many projects that need volunteers. Want to check out one together?,"volunteering, help",amsterdam,ACTIVE,FALSE,do-gooders
31/07/2022 17:39:46,Let's eat at non-commercial restaurants,I know of De Peper but I'm sure there are other ones in Amsterdam. ,"food, hippie, community, non-commercial",amsterdam,ACTIVE,FALSE,foodies
31/07/2022 17:42:14,Let's go slacklining,I have a slackline and know a few good spots. Anybody wants to join? I usually go on Saturdays.,"slackline, sports, outdoor",,ACTIVE,FALSE,slackers
31/07/2022 17:44:18,Let's start a book club,"Nerdy, I know, but I love to read and love even more discussing with others what I just read. Currently into classics but open to anything fiction.","books, reading, book club",,ACTIVE,FALSE,bookworms
31/07/2022 17:45:43,Let's start a podcast club,Like a book club but for podcasts. I'm listenting a lot to Tim Ferris and Ezra Klein. You?,"podcasts, book club",,ACTIVE,FALSE,podcast fans
31/07/2022 17:47:14,Let's get cheap tickets on ticketswap,Quite a few bargains on ticketswap usually - want to join for a random concert?,"live music, music, festivals, random, yolo",,ACTIVE,FALSE,gigs
31/07/2022 17:49:20,Let's learn salsa dancing,Can't dance a single step but I always wanted to give it a try. Bachata would also work. Anybody wants to partner up?,"salsa, dancing, bachata",,ACTIVE,FALSE,dancers
31/07/2022 17:52:05,Let's start a startup,I have 100 ideas but never dared to make the first step to do something with them. Maybe there is somebody out there who wants to explore together what it would take to make this dream a reality?,"startup, tech, business, app",,ACTIVE,FALSE,entrepreneurs
31/07/2022 17:55:13,Let's take a train to Pairs,"Paris is so close and yet I never go... Here's the plan: We take the train Sunday morning, get a nice lunch by the Seine, go our own ways for a few hours, get an early dinner and share stories, and then be back in Amsterdam around 10. Who's in?","paris, travel, food, france",amsterdam,ACTIVE,FALSE,explorers
31/07/2022 17:57:46,Let's play board games on a rainy day,It's Amsterdam - we have more rainy days than any other country it feels like. Who wants to meet at Cafe Brecht on a rainy Saturday afternoon and play some boardgames?,"board games, cafe brecht, weekend, rain",amsterdam,ACTIVE,FALSE,nerds
31/07/2022 17:59:20,Let's learn how to play guitar,"I have a guitar but like 90% of the other people with guitars, I can only play Wonderwall by Oasis. If you're one of these 90% people out there, want to try to get better together?","guitar, learning, music",,ACTIVE,FALSE,musicians
